Date,Close,Open,High,Low
1990-01-02,1.1839,1.1839,1.2008,1.1795
1990-01-03,1.1778,1.1778,1.1841,1.1729
1990-01-04,1.2067,1.2067,1.2104,1.169
1990-01-05,1.1985,1.1985,1.2075,1.1904
1990-01-08,1.2162,1.2162,1.2173,1.1929
1990-01-09,1.2115,1.2115,1.2136,1.2012
1990-01-10,1.2083,1.2083,1.2185,1.2048
1990-01-11,1.209,1.209,1.2111,1.1993
1990-01-12,1.2058,1.2058,1.2151,1.2022
1990-01-15,1.201,1.201,1.2098,1.201
1990-01-16,1.202,1.202,1.2048,1.1887
1990-01-17,1.205,1.205,1.21,1.1969
1990-01-18,1.1888,1.1888,1.202,1.1865
1990-01-19,1.1897,1.1897,1.1957,1.1844
1990-01-22,1.1818,1.1818,1.1871,1.1791
1990-01-23,1.2016,1.2016,1.2028,1.1818
1990-01-24,1.205,1.205,1.2132,1.1993
1990-01-25,1.2082,1.2082,1.2087,1.2024
1990-01-26,1.208,1.208,1.2088,1.2004
1990-01-29,1.2146,1.2146,1.2186,1.2079
1990-01-30,1.2156,1.2156,1.2209,1.2123
1990-01-31,1.2085,1.2085,1.2148,1.2056
1990-02-01,1.2159,1.2159,1.2179,1.2089
1990-02-02,1.2127,1.2127,1.2181,1.2068
1990-02-05,1.2288,1.2288,1.2304,1.2128
1990-02-06,1.2293,1.2293,1.2324,1.2254
1990-02-07,1.2271,1.2271,1.2325,1.224
1990-02-08,1.2225,1.2225,1.2239,1.2166
1990-02-09,1.2218,1.2218,1.223,1.2149
1990-02-12,1.2178,1.2178,1.2228,1.2161
1990-02-13,1.2174,1.2174,1.218,1.2083
1990-02-14,1.2164,1.2164,1.2226,1.2161
1990-02-15,1.2045,1.2045,1.2175,1.2044
1990-02-16,1.2188,1.2188,1.2192,1.2014
1990-02-19,1.2174,1.2174,1.2208,1.2136
1990-02-20,1.2246,1.2246,1.2247,1.2167
1990-02-21,1.2224,1.2224,1.2285,1.2209
